mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,tempo,spectral_centroid,zcr,rms,label
-125.25643,120.20559,-18.326477,44.870823,-5.429578,20.852407,-13.753224,16.807833,-12.435857,11.826387,-8.855663,9.295366,-4.1513925,123.046875,1782.836091513962,0.08011097919083526,0.12441264,blues
-104.70713,122.2818,-16.140682,40.836025,-10.423074,18.005255,-12.751393,15.966058,-12.650309,12.169071,-7.6829195,10.464032,-4.378682,129.19921875,1803.9335324132057,0.08156449390951276,0.13515308,blues
-113.05592,125.08428,-25.844616,44.177784,-6.0840325,19.723314,-17.29722,15.89953,-14.309294,11.360112,-10.854089,8.8773365,-4.6009865,123.046875,1767.7436090877657,0.08709645990429234,0.13059968,blues
-221.96216,131.09808,0.51632625,39.070675,7.866834,17.828434,-6.0299377,22.621696,-5.231014,10.509182,-3.1233969,6.9221554,-1.8947375,67.99958881578948,1364.7389766547994,0.05521090124709977,0.09432509,blues
-222.06569,124.18471,11.235551,38.641685,-0.63454396,27.731474,-12.916883,25.12424,-14.749926,15.030134,-8.055166,9.242226,-3.0166347,67.99958881578948,1582.7594090311197,0.05295868982018562,0.08780664,blues
-182.56636,122.231735,9.720889,34.887306,-3.235282,23.398188,-10.830988,26.149284,-13.904557,13.364052,-8.443462,2.6174397,-4.2278056,66.25600961538461,1645.2045817483292,0.05967793829756381,0.10519597,blues
-99.192795,141.50714,-25.696747,34.449314,-17.038189,25.808807,-13.154822,10.701172,-11.356643,7.2960954,-12.971547,4.5317373,-8.682208,161.4990234375,1521.9088014538531,0.07018221613979118,0.16569412,blues
-100.25638,145.3825,-30.947878,36.366096,-16.55783,26.772926,-13.655284,10.91385,-12.976605,9.158951,-15.287569,3.9601717,-7.563027,161.4990234375,1508.5621894738526,0.07305752428944315,0.16774414,blues
-74.87908,137.28813,-33.392315,26.845072,-10.955763,27.187498,-16.654503,15.679037,-13.261757,14.933005,-13.262912,10.959691,-12.383335,161.4990234375,1627.5925479228567,0.08519884715777262,0.19257936,blues
-214.5671,156.5712,2.786299,26.744757,4.976554,9.361401,-1.3256437,10.197515,2.4535098,8.810805,2.4873328,4.6937995,-2.3635607,63.02400914634146,947.1668591184965,0.030092172998839907,0.14035161,blues
-196.50693,147.53993,7.955702,27.031662,1.7314748,17.037916,-8.409396,9.192495,-2.1118577,9.899165,-4.197599,6.767993,-4.6385007,184.5703125,1140.8987828177333,0.035318255147911835,0.13844255,blues
-188.36505,147.45036,5.0958114,27.94553,-2.4104023,17.213865,-5.489611,9.231633,-3.1824467,6.326703,-8.402367,7.274438,-0.8082464,63.02400914634146,1123.1188231658525,0.034339426841647334,0.14397666,blues
-152.04611,115.32886,-31.875118,23.744848,-37.106895,13.9093075,-23.033861,4.5983987,-14.4546385,4.067808,-16.663475,-4.089051,-4.7504225,135.99917763157896,2046.4264438591667,0.11638540458236658,0.10061419,blues
-174.31119,133.31656,-42.43538,27.097164,-32.37146,13.553571,-26.250385,1.9292774,-13.413556,3.1592157,-14.97301,0.90412325,-11.127742,135.99917763157896,1766.5150281069778,0.0971702345562645,0.08277645,blues
-161.32841,139.20065,-41.630512,24.555655,-36.70703,13.495496,-28.763718,2.6212976,-14.766287,3.1264772,-13.885971,0.4545757,-10.100362,135.99917763157896,1693.9163296739346,0.09013830481438515,0.09095778,blues
-192.3696,123.237114,-15.56774,28.934904,-22.999128,12.87362,-22.010885,2.6049259,-9.690566,0.048972994,-11.882803,-2.6643212,-8.1228285,67.99958881578948,1795.5366288626617,0.09621633011890951,0.10285633,blues
-187.47012,116.97952,-21.311605,41.29973,-20.40765,17.23434,-23.29112,8.5149555,-10.651247,1.2027013,-13.777275,-1.7005323,-12.1326685,69.83741554054055,1885.5314002350046,0.09534172890081206,0.09774588,blues
-159.32394,122.041466,-22.62388,28.361156,-27.77608,11.222694,-21.971863,3.0110645,-9.341281,-0.68148696,-12.612254,-0.49514616,-9.642143,69.83741554054055,1813.4508724668506,0.09010771642981438,0.109391995,blues
-231.72357,137.19365,-26.34801,28.321896,18.718117,-1.7532326,-19.012608,-1.187779,-5.5766926,-8.195797,-8.923558,-3.0949702,-6.448811,69.83741554054055,1251.219719676047,0.055076085774361946,0.112047695,blues
-180.73557,122.88891,-34.69246,35.659042,4.824334,-0.047144488,-21.733486,1.7974461,-8.720157,-3.4750726,-9.622476,-3.4913251,-4.5639067,71.77734375,1607.9056185354493,0.07870617930684455,0.14749785,blues
-165.0671,139.64107,-53.964336,38.885517,7.6923223,1.4695444,-23.336754,1.7136252,-6.359697,-3.9591246,-5.6083045,-2.2673988,-9.198561,75.99954044117646,1516.0329729655098,0.08482952073665893,0.16511996,blues
-195.01903,141.09682,-25.512072,35.239433,11.744852,12.662311,-20.048992,8.16986,-10.887868,-5.073629,-6.2342415,-6.960305,-1.1076281,92.28515625,1343.1118640023788,0.056027724405452436,0.11526975,blues
-178.91586,144.12962,-25.735788,40.344975,4.3645263,10.396665,-19.121338,9.466696,-11.455462,-5.7010818,-7.3386755,-6.592178,-5.7686696,92.28515625,1330.6701183196583,0.05135449898491879,0.14285338,blues
-166.83447,127.39139,-31.923445,47.35902,-2.7376785,11.986233,-24.380497,9.414973,-13.032181,1.4894463,-12.520263,-6.6243677,-4.335403,95.703125,1684.4042348202167,0.07639505691705337,0.13681631,blues
-115.81225,123.812775,-17.20835,45.997604,-8.163971,21.09297,-21.947823,22.475739,-12.444565,22.16926,-5.8890514,7.89719,-13.448797,83.35433467741936,1734.3223138787703,0.0684330137035963,0.14670095,blues
-123.898,121.08275,-14.366777,49.59802,-8.740097,20.122622,-18.466377,22.4239,-11.8442745,20.561127,-7.849163,5.5191054,-13.019119,83.35433467741936,1719.5636045406907,0.061675246519721574,0.14374581,blues
-125.110756,123.52498,-13.492825,43.628193,-8.345597,20.06285,-17.97619,24.962967,-11.8785305,21.494474,-7.15404,8.269132,-12.331572,83.35433467741936,1704.1158343530763,0.06147019105278422,0.1361687,blues
-203.65211,117.92082,-12.842727,42.322044,-20.193949,17.140928,-11.131883,10.057549,-15.219737,4.5405054,-9.403694,3.5330951,-3.5868306,83.35433467741936,1832.6856075884832,0.08261469511310905,0.08810692,blues
-202.61218,107.429054,-15.484497,44.321316,-26.390032,13.090608,-11.183131,8.87832,-13.27267,6.871546,-5.0105376,3.439164,3.3025978,129.19921875,1966.1533176906196,0.08591257613109049,0.0908218,blues
-235.97397,123.41601,-10.054549,33.610188,-17.601788,12.114455,-8.122217,10.818039,-16.39038,3.7856274,-5.903053,6.3672504,-0.7516291,135.99917763157896,1654.9074314634497,0.06850212079466357,0.06467945,blues
-199.0874,139.34259,-31.310068,28.900595,-15.958202,6.313982,-11.320917,8.534319,-4.7108016,1.0214065,-2.7394838,3.0218353,-3.3527982,161.4990234375,1405.2586611504096,0.06735109121229699,0.1263678,blues
-151.56177,153.8177,-22.838865,27.660109,-16.169449,2.6525662,-17.052961,6.4903193,-5.8799906,0.5744862,-2.629823,0.5070901,-6.7156377,80.74951171875,1257.2785143072094,0.05534571671983759,0.16242813,blues
-176.0715,126.3517,-24.06028,29.867805,-22.610462,7.2598615,-12.429653,5.0525713,-0.3566016,-3.2839549,-2.0236592,3.1496377,0.21207203,161.4990234375,1572.6507781731145,0.06584772875580046,0.13918772,blues
-318.69464,124.299416,5.115541,32.97015,3.9521012,13.746714,-4.3654857,11.874101,2.2691813,7.655264,-3.8764508,-1.3992797,-5.7973905,161.4990234375,1362.397251795194,0.04353406866299304,0.051954642,blues
-278.23337,129.89972,4.7091165,31.383656,-3.5905402,14.0422535,-4.5137687,7.900683,-1.2170554,5.864957,-5.4267178,-3.7240214,-6.083659,161.4990234375,1341.4306184250854,0.04850638051044084,0.06859393,blues
-272.11072,124.62081,0.27542552,42.190514,-1.7266858,20.173452,-9.047169,8.922567,-1.030207,8.134826,-6.8382354,-3.3129776,-5.4437594,161.4990234375,1358.8166058766337,0.03954964834686775,0.07635624,blues
-211.4222,123.934685,-19.242924,64.331215,0.8935478,13.288938,2.336379,1.9547,-19.731276,9.577215,-3.081547,-0.8301395,-0.2854202,172.265625,1494.7241983847405,0.07884665929524362,0.11133327,blues
-197.47006,131.46654,-17.932444,64.56513,0.6654492,13.001258,0.528644,-2.5012202,-18.549139,7.939118,-3.3075469,-1.3648298,0.18189354,92.28515625,1401.8872120895082,0.07470363254060325,0.12995195,blues
-213.59676,145.03482,-10.951722,55.36873,-1.279072,12.524282,-0.79089105,-2.6164358,-16.66483,8.780001,-1.9639765,1.2655337,0.36529857,95.703125,1186.2308332079274,0.053374465269721574,0.11530517,blues
-206.5826,129.7893,9.165091,48.437733,2.1234906,16.862873,-3.4194272,10.586116,-24.41289,13.456465,-5.523039,-0.17069675,-5.3205094,107.666015625,1323.4170789985465,0.04871823339617169,0.09905571,blues
-210.56598,127.47375,12.948947,45.62365,7.417254,16.39006,-3.6895356,7.0353713,-20.454874,7.844817,-7.6319876,-1.4417232,-2.8919692,103.359375,1275.3702603344532,0.04721373803654293,0.11526182,blues
